,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
0,1,131,Wolves,0,True,2023-12-02T15:00:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-405,22399,0,405,1,Folarin Balogun,44,FWD,Liverpool,Arsenal,Arsenal
1,2,131,Wolves,0,True,2023-12-02T15:00:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,-406,44385,1138,1544,2,Cédric Alves Soares,39,DEF,Liverpool,Arsenal,Arsenal
2,3,131,Wolves,0,True,2023-12-02T15:00:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-333,10314,333,666,3,Mohamed Elneny,44,MID,Liverpool,Arsenal,Arsenal
3,4,131,Wolves,0,True,2023-12-02T15:00:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-597,9996,19,616,4,Fábio Ferreira Vieira,54,MID,Liverpool,Arsenal,Arsenal
4,5,131,Wolves,2,True,2023-12-02T15:00:00Z,2,1,14,90,0,0,0,1,0,0,0,0,0,0,0,15,8.6,11.8,14.0,3.4,1,0.35,0.01,0.36,0.71,49,53508,1636459,76716,23208,5,Gabriel dos Santos Magalhães,49,DEF,Liverpool,Arsenal,Arsenal
5,6,131,Wolves,1,True,2023-12-02T15:00:00Z,2,1,14,12,0,0,0,1,0,0,0,0,0,0,0,3,1.4,0.5,0.0,0.2,0,0.00,0.00,0.00,0.13,71,9277,167388,11516,2239,6,Kai Havertz,71,MID,Liverpool,Arsenal,Arsenal
6,8,131,Wolves,2,True,2023-12-02T15:00:00Z,2,1,14,66,0,0,1,0,0,0,0,0,0,0,0,1,2.6,12.0,34.0,4.9,1,0.52,0.04,0.56,0.58,78,94464,329817,104270,9806,8,Gabriel Fernando de Jesus,79,FWD,Liverpool,Arsenal,Arsenal
7,9,131,Wolves,1,True,2023-12-02T15:00:00Z,2,1,14,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,53,-130,19517,403,533,9,Jorge Luiz Frello Filho,53,MID,Liverpool,Arsenal,Arsenal
8,10,131,Wolves,1,True,2023-12-02T15:00:00Z,2,1,14,1,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.0,0.0,0.2,0,0.00,0.00,0.00,0.00,43,-136,9160,140,276,10,Jakub Kiwior,43,DEF,Liverpool,Arsenal,Arsenal
9,11,131,Wolves,0,True,2023-12-02T15:00:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-61,4680,0,61,11,Marcus Oliveira Alencar,45,MID,Liverpool,Arsenal,Arsenal
